Date,Price,Open,High,Low,Vol.,Change %
29-Sep-13,1420.70,1427.75,1432.90,1418.45,-,-0.001400
27-Sep-13,1422.75,1415.10,1424.80,1401.20,-,0.005400
26-Sep-13,1415.05,1429.55,1437.70,1412.20,-,-0.010400
25-Sep-13,1429.95,1428.25,1437.75,1426.05,-,0.001200
24-Sep-13,1428.20,1427.20,1432.70,1416.90,-,0.000700
23-Sep-13,1427.25,1432.70,1437.45,1420.20,-,-0.003900
22-Sep-13,1432.80,1431.75,1435.80,1428.75,-,0.001200
20-Sep-13,1431.15,1461.40,1463.80,1428.55,-,-0.020900
19-Sep-13,1461.70,1469.80,1481.55,1460.35,-,-0.005500
18-Sep-13,1469.75,1424.05,1470.95,1411.80,-,0.032100
17-Sep-13,1424.00,1437.90,1447.85,1419.10,-,-0.009700
16-Sep-13,1438.00,1455.95,1462.80,1433.50,-,-0.012500
15-Sep-13,1456.20,1456.25,1458.80,1451.80,-,0.001700
13-Sep-13,1453.75,1445.25,1454.25,1426.05,-,0.005900
12-Sep-13,1445.20,1474.75,1476.35,1435.75,-,-0.019900
11-Sep-13,1474.60,1476.60,1487.25,1469.20,-,-0.001100
10-Sep-13,1476.20,1486.75,1487.90,1471.90,-,-0.007100
9-Sep-13,1486.80,1497.80,1499.20,1481.40,-,-0.007100
8-Sep-13,1497.40,1494.60,1497.60,1492.05,-,0.001300
6-Sep-13,1495.50,1485.30,1505.75,1478.20,-,0.007000
5-Sep-13,1485.15,1499.70,1502.80,1473.45,-,-0.009300
4-Sep-13,1499.15,1536.25,1539.75,1491.30,-,-0.024200
3-Sep-13,1536.30,1524.30,1540.60,1518.20,-,0.007400
2-Sep-13,1525.00,1517.15,1534.40,1516.45,-,0.005200
1-Sep-13,1517.05,1524.85,1525.95,1512.45,-,-0.004200
30-Aug-13,1523.45,1515.30,1528.90,1510.60,-,0.005500
29-Aug-13,1515.10,1538.75,1539.10,1513.40,-,-0.015500
28-Aug-13,1538.95,1534.40,1546.50,1516.75,-,0.002200
27-Aug-13,1535.50,1552.05,1555.45,1523.20,-,-0.010500
26-Aug-13,1551.85,1548.65,1555.95,1531.90,-,0.002000
25-Aug-13,1548.80,1543.50,1550.95,1540.75,-,0.005100
23-Aug-13,1540.90,1541.35,1548.25,1536.55,-,-0.000400
22-Aug-13,1541.45,1508.60,1546.40,1507.70,-,0.021800
21-Aug-13,1508.50,1520.85,1525.45,1505.20,-,-0.008200
20-Aug-13,1520.90,1511.45,1526.50,1497.15,-,0.005900
19-Aug-13,1512.00,1528.95,1529.35,1505.85,-,-0.010900
18-Aug-13,1528.60,1529.00,1529.55,1524.85,-,0.001000
16-Aug-13,1527.10,1528.80,1534.35,1515.75,-,-0.001100
15-Aug-13,1528.75,1512.70,1534.15,1500.70,-,0.010900
14-Aug-13,1512.25,1493.50,1514.15,1485.80,-,0.012300
13-Aug-13,1493.85,1494.85,1514.65,1493.45,-,-0.000700
12-Aug-13,1494.90,1508.40,1510.95,1493.50,-,-0.008900
11-Aug-13,1508.30,1504.60,1509.75,1504.20,-,0.003400
9-Aug-13,1503.20,1491.35,1505.20,1484.55,-,0.008100
8-Aug-13,1491.05,1435.85,1496.75,1435.85,-,0.038600
7-Aug-13,1435.65,1427.40,1441.95,1417.05,-,0.005600
6-Aug-13,1427.70,1450.95,1451.45,1423.20,-,-0.016000
5-Aug-13,1450.90,1444.90,1458.30,1440.55,-,0.004200
4-Aug-13,1444.85,1449.50,1449.75,1444.85,-,-0.003100
2-Aug-13,1449.30,1438.75,1453.80,1416.15,-,0.007200
1-Aug-13,1438.90,1443.00,1445.70,1433.70,-,-0.002800
31-Jul-13,1442.95,1438.55,1449.25,1419.25,-,0.003200
30-Jul-13,1438.40,1438.85,1446.55,1431.35,-,-0.000300
29-Jul-13,1438.80,1431.15,1448.50,1422.25,-,0.005300
28-Jul-13,1431.20,1432.30,1433.10,1426.85,-,0.000200
26-Jul-13,1430.95,1450.55,1451.55,1412.20,-,-0.013400
25-Jul-13,1450.45,1443.50,1453.15,1428.90,-,0.004800
24-Jul-13,1443.55,1447.95,1464.30,1441.90,-,-0.002900
23-Jul-13,1447.75,1448.35,1453.65,1424.20,-,-0.000600
22-Jul-13,1448.60,1442.15,1455.65,1431.05,-,0.004500
